L = 60
T           <E>         <|M|>       Cv          ChiAbs      
2.885          -0.868586      0.0595316      0.829863       4.51925        
2.89           -0.866519      0.0562706      0.777523       4.06957        
2.895          -0.864603      0.0560451      0.753117       3.99931        
2.9            -0.86096       0.0502769      0.802212       3.70753        
2.905          -0.859237      0.0583557      0.806556       4.20746        
2.91           -0.857042      0.0495588      0.753952       3.71813        
2.915          -0.853278      0.0514951      0.793781       3.93931        
2.92           -0.853952      0.0559046      0.756105       3.7529         
2.925          -0.850958      0.057861       0.771095       3.73982        
2.93           -0.846976      0.0515423      0.710897       3.30101        
2.935          -0.846898      0.0499696      0.725353       3.78358        
2.94           -0.843161      0.0534572      0.707869       3.58403        
2.945          -0.842138      0.048935       0.689051       3.27263        
2.95           -0.83777       0.0488339      0.701168       3.28855        
2.955          -0.836492      0.0467271      0.70811        3.0854         
2.96           -0.834413      0.0499242      0.707601       3.21165        
2.965          -0.836018      0.0463994      0.72639        3.48379        
2.97           -0.830896      0.0544278      0.758738       3.85373        
2.975          -0.829015      0.0493638      0.745543       3.65153        
2.98           -0.827755      0.0478942      0.78409        3.42405        
2.985          -0.825084      0.0473357      0.739112       3.43186        
2.99           -0.823448      0.0466772      0.729974       3.09376        
2.995          -0.82208       0.0517189      0.783794       3.34224        
3              -0.818315      0.042776       0.673483       2.98303        
